id,name,address,rating,review_count,lat,lon,tit1,tit2,zipcodes
jqTrWJRgH96GSSfDtn0Law,Burger Daddy,"149 Linden Ave  Ste C  Long Beach, CA 90802",4.5,102,33.76905758,-118.1864872,Burgers, ,90802
jQUr4StF18gqUTXVCrsvLg,KFC,"4525 Torrance Blvd  Torrance, CA 90503",1.5,124,33.83797337,-118.3620639,Fast Food, Chicken Wings,90503
jQVRSpzNkAe0mGrzkXw0VA,Garden Cafe,"1990 S Bundy Dr  Los Angeles, CA 90025",4.5,25,34.034465000000004,-118.45548400000001,Cafes, ,90025
jQXj5x1V-mtVMFYoMQYOkg,Proof Bakery,"3156 Glendale Blvd  Los Angeles, CA 90039",4.0,891,34.116939,-118.261573,Coffee & Tea, Sandwiches,90039
Jr634Nn0uwnFc4copd3pxw,MI Pueblo VIEJO Restaurant & BAR,"4000 West Washington Blvd  Los Angeles, CA 90018",2.0,9,34.03957,-118.32701000000002,Salvadoran, Bars,90018
jR96PH7csEpk2eKmhmzhfQ,Rubio's Coastal Grill,"25366 Crenshaw Blvd  Torrance, CA 90505",3.5,167,33.79326424,-118.33088490000002,Mexican, Seafood,90505
jRa9QtINjqRm2lSGpRodDA,Del Taco,"14485 Inglewood Ave  Hawthorne, CA 90250",2.0,73,33.8998636,-118.361631,Mexican, ,90250
jrb0yzEC0eWHMpbzrSKszg,Downtown Salad Place,"117 9th St  Los Angeles, CA 90731",5.0,1,34.04201508,-118.255394,Salad, ,90731
JRb7dujShIS-raj42T6-iw,Pono & Piha,"4427 sunset blvd  Los Angeles, CA 90027",5.0,1,34.09747,-118.28573999999999,Hawaiian, Food Stands,90027
JrbJLbG05a09Oev9LiGoMQ,Pupuseria El Cerro Verde,"12627 Hawthorne Blvd  Hawthorne, CA 90250",3.5,506,33.917730999999996,-118.352899,Latin American, ,90250
jrBRl5GSZ8LkrMr5OAZ3NA,Mando's Family Restaurant,"6483 N Figueroa St  Los Angeles, CA 90042",4.0,84,34.12007592,-118.1839751,American (Traditional), Mexican,90042
JrDOR4H5frXQ_aDilZSABw,Ramen Hajime,"2717 W Lincoln Ave  Anaheim, CA 92801",4.5,545,33.8323749,-117.98079369999999,Ramen, Noodles,92801
JRgGEs683Xr9kolcFHkQfA,Wienerschnitzel,"1362 Gulf Ave  Wilmington, CA 90744",4.5,12,33.79041289999999,-118.2735977,Fast Food, Hot Dogs,90744
jRMYvNNavs03WfId2hJCPw,Mom's Products,"7441 Cerritos Ave  Stanton, CA 90680",4.5,129,33.8102049,-118.00279990000001,Mediterranean, ,90680
jrpDTM3V0981i1wZgbROAg,Gabriel's Burgers,"2001 Pacific Ave  Long Beach, CA 90806",3.0,44,33.79368,-118.19407,Burgers, Mexican,90806
jrpi_HVwtBgtaZUGSDjR_w,Taco Bell,"1601 Crenshaw Blvd.  Los Angeles, CA 90019",2.0,36,34.044713,-118.328511,Mexican, Fast Food,90019
jrRMueuUYTHx94B80qio9g,My Dung Sandwich Shop,"314 Ord St  Los Angeles, CA 90012",4.5,116,34.0601402,-118.23886,Sandwiches, Vietnamese,90012
JRS5gRGwnrQ9R-_HxwRgjw,Urth Caffé-Beverly Hills,"267 S Beverly Dr  Beverly Hills, CA 90212",4.0,2517,34.06264,-118.39943000000001,Coffee & Tea, Sandwiches,90212
jrUxrWCIWmhcAn5DFLUA-w,Tacos La China,"Washington Blvd & Clyde Ave  Los Angeles, CA 90016",5.0,4,34.03632,-118.36576000000001,Food Trucks, Food Stands,90016
JrXTn8shYcuqa4Uj0yByzw,Pita House,"1908 Lincoln Blvd  Santa Monica, CA 90405",5.0,70,34.011665,-118.4831933,Mediterranean, ,90405
jRYdedSZcERQJwUTtz58kA,Pizza Hut,"5130 Huntington Dr S  Los Angeles, CA 90032",4.0,4,34.088869200000005,-118.17102050000001,Pizza, Italian,90032
jryeyUCcO8t_Ioooge6XDQ,Pho A'mie,"737 N Placentia Ave  Fullerton, CA 92831",4.0,283,33.87654127,-117.8794584,Vietnamese, Juice Bars & Smoothies,92831
js3kiwuS_0-aBUi2wZOMNg,Don's Fish and Chicken,"6178 Long Beach Blvd  Long Beach, CA 90805",4.0,13,33.8670475,-118.20041859999999,Seafood, Chicken Wings,90805
jS8MhTJpHmGYuxcKonGG-A,Kismet,"4648 Hollywood Blvd  Los Angeles, CA 90027",4.0,470,34.1002441,-118.29061019999999,Mediterranean, American (New),90027
jS9e4e5aLplzNzHv4edw2Q,Seasons Kitchen USA,"641 N Euclid St  Anaheim, CA 92801",4.5,445,33.8405401,-117.94173490000001,Malaysian, Singaporean,92801
jsAlro-yfLHx5TrET1G--A,Cafe Aly,"310 E Pico Blvd  Los Angeles, CA 90015",5.0,24,34.0348057,-118.25798470000001,Persian/Iranian, Mexican,90015
